ReleaseID,version,ClassName,LOC,NRtotal,NRpartial,NfixTotal,NfixPartial,NauthTotal,NauthPartial,locAddedTotal,locAddedPartial,churnTotal,ChurnPartial,maxChurnTotal,maxChurnPartial,avgChurnTotal,avgChurnPartial,age,chgSetTotal,chgSetPartial,maxChangeSetTotal,maxChangeSetPartial,avgChgSetTotal,avgChgSetPartial,smells,Buggy
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,93,2,2,0,0,1,1,93,93,93,93,93,93,46,46,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,231,2,2,0,0,1,1,231,231,231,231,231,231,115,115,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,187,3,3,0,0,2,2,191,191,191,191,180,180,63,63,37,2352,2352,1049,1049,784,784,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,161,3,3,0,0,2,2,167,167,167,167,161,161,55,55,37,2233,2233,1049,1049,744,744,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,53,3,3,0,0,2,2,56,56,56,56,53,53,18,18,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ClearFieldManager.java,75,4,4,0,0,1,1,149,149,149,149,75,75,37,37,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationMapTableFieldStrategy.java,167,3,3,0,0,2,2,181,181,184,184,170,170,61,61,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Factory.java,36,4,4,0,0,1,1,72,72,72,72,36,36,18,18,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachState.java,40,4,4,0,0,1,1,80,80,80,80,40,40,20,20,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCache.java,135,5,5,0,0,1,1,290,290,294,294,138,138,58,58,45,3071,3071,1031,1031,614,614,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AndExpression.java,68,5,5,0,0,2,2,128,128,128,128,61,61,25,25,45,3437,3437,1031,1031,687,687,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/EmpressDictionary.java,171,2,2,0,0,1,1,171,171,171,171,171,171,85,85,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/LogOrphanedKeyAction.java,104,5,5,0,0,1,1,218,218,222,222,108,108,44,44,45,3365,3365,1031,1031,673,673,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsExpression.java,81,5,5,0,0,2,2,154,154,154,154,74,74,30,30,45,3437,3437,1031,1031,687,687,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ValueStrategies.java,142,5,5,0,0,1,1,281,281,281,281,141,141,56,56,45,3365,3365,1031,1031,673,673,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,84,2,2,0,0,1,1,84,84,84,84,84,84,42,42,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/BytecodeWriter.java,30,5,5,0,0,1,1,48,48,54,54,30,30,10,10,58,3089,3089,1031,1031,617,617,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,606,3,3,0,0,1,1,608,608,610,610,608,608,203,203,37,2099,2099,1049,1049,699,699,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationStrategies.java,207,2,2,0,0,1,1,207,207,207,207,207,207,103,103,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,689,3,3,0,0,1,1,692,692,695,695,692,692,231,231,37,2099,2099,1049,1049,699,699,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FirebirdDictionary.java,58,2,2,0,0,1,1,58,58,58,58,58,58,29,29,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/ant/PCEnhancerTask.java,88,7,7,0,0,2,2,191,191,202,202,99,99,28,28,45,3454,3454,1031,1031,493,493,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,43,2,2,0,0,1,1,43,43,43,43,43,43,21,21,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ECleanState.java,83,4,4,0,0,1,1,167,167,168,168,84,84,42,42,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,135,2,2,0,0,1,1,135,135,135,135,135,135,67,67,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ConnectionRetainModes.java,42,4,4,0,0,1,1,85,85,85,85,42,42,21,21,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,107,4,4,0,0,2,2,120,120,121,121,107,107,30,30,37,2607,2607,1049,1049,651,651,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Any.java,55,4,4,0,0,1,1,106,106,106,106,55,55,26,26,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/FetchAttribute.java,41,5,5,0,0,2,2,76,76,76,76,35,35,15,15,45,3283,3283,1031,1031,656,656,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,493,2,2,0,0,1,1,493,493,493,493,493,493,246,246,37,2077,2077,1049,1049,1038,1038,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,159,2,2,0,0,1,1,159,159,159,159,159,159,79,79,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsKeyExpression.java,43,4,4,0,0,1,1,86,86,86,86,43,43,21,21,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,69,2,2,0,0,1,1,69,69,69,69,69,69,34,34,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Closeable.java,27,5,5,0,0,1,1,42,42,46,46,27,27,9,9,58,3089,3089,1031,1031,617,617,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractChangeTracker.java,233,5,5,0,0,1,1,482,482,488,488,239,239,97,97,45,3071,3071,1031,1031,614,614,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/MethodLifecycleCallbacks.java,110,5,5,0,0,1,1,222,222,224,224,112,112,44,44,45,3521,3521,1028,1028,704,704,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RelationId.java,35,2,2,0,0,1,1,35,35,35,35,35,35,17,17,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyInverseKeyFieldStrategy.java,311,4,4,0,0,2,2,322,322,322,322,309,309,80,80,37,2520,2520,1049,1049,630,630,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java,53,2,2,0,0,1,1,53,53,53,53,53,53,26,26,37,2077,2077,1049,1049,1038,1038,0,yes
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ECopyState.java,80,4,4,0,0,1,1,161,161,162,162,81,81,40,40,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,64,2,2,0,0,1,1,64,64,64,64,64,64,32,32,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,310,3,3,0,0,2,2,313,313,313,313,309,309,104,104,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,117,3,3,0,0,2,2,121,121,121,121,117,117,40,40,37,2347,2347,1049,1049,782,782,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,672,8,8,0,0,2,2,1354,1354,1368,1368,682,682,171,171,45,4038,4038,1028,1028,504,504,0,yes
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ReverseCustomizer.java,160,2,2,0,0,1,1,160,160,160,160,160,160,80,80,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/conf/AutoDetachValue.java,71,6,6,0,0,1,1,191,191,213,213,91,91,35,35,45,3153,3153,1030,1030,525,525,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ContainsValueExpression.java,43,4,4,0,0,1,1,86,86,86,86,43,43,21,21,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/NoneOrphanedKeyAction.java,34,4,4,0,0,1,1,66,66,66,66,34,34,16,16,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,86,2,2,0,0,1,1,86,86,86,86,86,86,43,43,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Args.java,80,5,5,0,0,2,2,171,171,182,182,84,84,36,36,45,3437,3437,1031,1031,687,687,0,no
