classPath,ruleName,priority,description,startLine,endLine
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,ExcessiveImports,3,"A high number of imports can indicate a high degree of coupling within an object.",19,2590
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CouplingBetweenObjects,3,"High amount of different objects as members denotes a high coupling",19,2590
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,GodClass,3,"Possible God Class (WMC=575, ATFD=333, TCC=0.525%)",87,87
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The class 'JPQLExpressionBuilder' has a total cyclomatic complexity of 575 (highest 147).",87,87
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,TooManyMethods,3,"This class has too many methods, consider refactoring it.",89,2589
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,ConstructorCallsOverridableMethod,1,"Overridable method called during object construction: JPQLExpressionBuilder.getParsedQuery(*String) ",118,118
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `meta` on foreign value `ctx()` (degree 1)",148,148
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `schemaAlias` on foreign value `ctx()` (degree 1)",151,151
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,AvoidDuplicateLiterals,3,"The String literal "not-schema-name" appears 4 times in this file; the first occurrence is on line 206",206,206
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CognitiveComplexity,3,"The method 'getCandidateMetaData(JPQLNode)' has a cognitive complexity of 31, current threshold is 15",230,230
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,CyclomaticComplexity,3,"The method 'getCandidateMetaData(JPQLNode)' has a cyclomatic complexity of 16.",230,230
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,NPathComplexity,3,"The method 'getCandidateMetaData(JPQLNode)' has an NPath complexity of 228, current threshold is 200",230,230
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `from` (degree 1)",245,245
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `from` (degree 1)",246,246
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `n` (degree 2)",248,248
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `n` (degree 2)",267,267
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Call to `getChild` on foreign value `n` (degree 2)",268,268
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `id` on foreign value `n` (degree 2)",270,270
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parser` on foreign value `root()` (degree 1)",293,293
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `filter` on foreign value `exps` (degree 1)",310,310
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `parameterTypes` on foreign value `exps` (degree 1)",319,319
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `accessPath` on foreign value `exps` (degree 1)",321,321
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `hasInExpression` on foreign value `exps` (degree 1)",322,322
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `children` on foreign value `node` (degree 1)",344,344
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projections` on foreign value `exps` (degree 1)",355,355
openjpa\openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,LawOfDemeter,3,"Access to field `projectionClauses` on foreign value `exps` (degree 1)",356,356
